,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
0,892420643555336193,8853,39467,False,"[0, 85]"
1,892177421306343426,6514,33819,False,"[0, 138]"
2,891815181378084864,4328,25461,False,"[0, 121]"
3,891689557279858688,8964,42908,False,"[0, 79]"
4,891327558926688256,9774,41048,False,"[0, 138]"
5,891087950875897856,3261,20562,False,"[0, 138]"
6,890971913173991426,2158,12041,False,"[0, 140]"
7,890729181411237888,16716,56848,False,"[0, 118]"
8,890609185150312448,4429,28226,False,"[0, 122]"
9,890240255349198849,7711,32467,False,"[0, 133]"
10,890006608113172480,7624,31166,False,"[0, 130]"
11,889880896479866881,5156,28268,False,"[0, 107]"
12,889665388333682689,8538,38818,False,"[0, 106]"
13,889638837579907072,4735,27672,False,"[0, 91]"
14,889531135344209921,2321,15359,False,"[0, 118]"
15,889278841981685760,5637,25652,False,"[0, 138]"
16,888917238123831296,4709,29611,False,"[0, 86]"
17,888804989199671297,4559,26080,False,"[0, 128]"
18,888554962724278272,3732,20290,False,"[0, 87]"
19,888078434458587136,3653,22201,False,"[0, 127]"
20,887705289381826560,5609,30779,False,"[0, 127]"
21,887517139158093824,12082,46959,False,"[0, 108]"
22,887473957103951883,18781,69871,False,"[0, 99]"
23,887343217045368832,10737,34222,False,"[0, 88]"
24,887101392804085760,6167,31061,False,"[0, 129]"
25,886983233522544640,8084,35859,False,"[0, 101]"
26,886736880519319552,3443,12306,False,"[0, 121]"
27,886680336477933568,4610,22798,False,"[0, 71]"
28,886366144734445568,3316,21524,False,"[0, 131]"
29,886267009285017600,4,117,False,"[27, 105]"
30,886258384151887873,6523,28469,False,"[0, 94]"
31,886054160059072513,108,0,False,"[0, 50]"
32,885984800019947520,7097,33382,False,"[0, 140]"
33,885528943205470208,6683,36689,False,"[0, 109]"
34,885518971528720385,3899,20788,False,"[0, 47]"
35,885311592912609280,19297,0,False,"[0, 133]"
36,885167619883638784,4556,22367,False,"[0, 134]"
37,884925521741709313,16439,68152,False,"[0, 93]"
38,884876753390489601,6096,28514,False,"[0, 118]"
39,884562892145688576,5100,24765,False,"[0, 66]"
40,884441805382717440,5856,27478,False,"[0, 136]"
41,884247878851493888,21298,74423,False,"[0, 104]"
42,884162670584377345,3128,20771,False,"[0, 140]"
43,883838122936631299,3586,22349,False,"[0, 137]"
44,883482846933004288,10407,46860,False,"[0, 112]"
45,883360690899218434,3825,22986,False,"[0, 139]"
46,883117836046086144,6949,37914,False,"[0, 111]"
47,882992080364220416,4122,24445,False,"[0, 108]"
48,882762694511734784,5134,28903,False,"[0, 114]"
49,882627270321602560,6342,28382,False,"[0, 136]"
